,id_user,id_event,nama_event,lokasi,harga_tiket,durasi,timestamp,genre,nama_musisi,rating,lat,lng,id_event_organizer
34,1478,1148,The Wanderers Festival,4387,976919,2,1679356800,Jazz,Gigi,5.0,34.148,-118.282,35
35,1278,2009,Sunset Chords,4244,1375374,3,1682726400,Jazz,Armada,5.0,42.138,-70.95,29
36,299,1255,Frequency Frolic,2566,1241588,4,1676678400,Pop,Geisha,5.0,43.44,-79.695,19
37,1060,809,FunkPrism,6154,1200576,2,1683676800,Pop,Element,5.0,38.907,-77.006,17
38,179,2281,The Da Vinci Code Art Festival,2929,1127913,1,1677801600,Jazz,Andra and The Backbone,5.0,45.449,-73.682,44
39,1448,2921,Sweetened Wine Night Festival,9359,1280366,1,1682812800,Pop,Kangen Band,5.0,42.873,-78.786,15
40,1395,1909,Trickle Of The Creek,8711,1307735,2,1676505600,Pop,Raisa,5.0,45.964,-66.626,9
41,759,829,InSound Music Festival,8204,1088516,3,1674604800,Pop,Repvblik,5.0,42.635,-71.317,13
42,995,1298,Mimosa Medley,5183,1319082,1,1682812800,Jazz,Repvblik,5.0,43.068,-87.9,33
43,1566,186,Borobudur Writers & Cultural Festival,3612,986018,1,1673136000,Pop,Isyana Sarasvati,1.0,43.481,-79.695,12
44,611,1446,Neverland,209,967055,3,1673136000,Jazz,Sheila On 7,5.0,33.712,-118.021,38
45,1162,2410,Elegant Winter Club,5649,898145,3,1673740800,Jazz,Ran,5.0,36.826,-119.7,35
46,1781,1618,Bass Bash,2924,1165144,1,1680912000,Pop,Kangen Band,5.0,40.759,-73.984,20
47,401,1440,Slurpia,7569,969675,4,1684022400,Pop,Raisa,5.0,37.69,-122.489,3
48,858,2101,Pickled Phantom,1105,1292406,3,1681776000,Pop,Raisa,5.0,41.89,-87.648,20
49,1743,1988,Baconic,5364,1134922,1,1680739200,Jazz,Nidji,5.0,27.336,-82.543,36
50,1152,1031,Headline Music Fest,7336,1256063,4,1676160000,Pop,Geisha,5.0,33.808,-117.876,10
51,586,2009,Sunset Chords,4103,1375374,1,1678406400,Jazz,Vierra,5.0,33.819,-117.897,29
52,946,1461,Upper Bandwidth,9200,867728,1,1672617600,Jazz,Gigi,5.0,38.812,-76.741,28
53,299,911,Sound Freedom,2107,1016408,4,1679702400,Pop,Isyana Sarasvati,5.0,35.759,-80.893,16
54,1671,183,Yogyakarta International Arts Festival,3035,1489123,1,1679443200,Jazz,Geisha,1.0,43.526,-80.224,43
55,570,128,Jakarta International Culinary Festival,1322,1441447,2,1680134400,Jazz,Slank,1.0,38.054,-84.487,34
56,378,1770,On the Rocks,8536,868373,1,1682899200,Pop,Bunga Citra Lestari,5.0,34.101,-118.336,2
57,1611,2396,Seasonal Winter Fest,4614,1144981,4,1675900800,Jazz,Vierra,5.0,40.051,-75.095,36
58,1849,2130,Rate of Resonance,1385,1216866,1,1677110400,Pop,Naff,5.0,41.503,-73.976,21
59,817,1456,Tuneful Gathering,5004,1367021,1,1673222400,Pop,Repvblik,5.0,36.156,-95.987,6
60,1688,1079,Metered Muse Fest,9430,995316,4,1673568000,Jazz,Ran,5.0,38.98,-76.522,46
61,1023,921,SuperFest,5957,1461422,1,1681344000,Pop,Payung Teduh,5.0,38.656,-90.304,22
62,1049,196,Jakarta International Film Festival,251,981922,2,1683590400,Jazz,Agnes Monica,1.0,39.741,-104.977,30
63,1353,1647,Sound Sensation,2475,830282,4,1677542400,Pop,Element,5.0,41.933,-71.28,8
64,1076,1128,Sustained Sound Festival,3161,1036447,2,1682553600,Pop,Noah,5.0,-37.862,144.975,13
65,2011,2358,The Best of the Best Food,9819,1253420,1,1678147200,Pop,Slank,5.0,44.965,-93.333,6
66,1879,829,InSound Music Festival,6169,1088516,4,1682121600,Pop,Dewa 19,5.0,44.68,-63.536,13
67,1069,2007,HenEggMattic,1318,951904,2,1676937600,Pop,Vierra,5.0,40.221,-74.729,5
68,155,1799,Metered Muse Fest,7217,916060,4,1678233600,Jazz,Nidji,5.0,42.373,-71.119,49
69,2098,220,Rhythmic Celebration,3088,980606,2,1679529600,Pop,Isyana Sarasvati,2.0,26.052,-80.211,26
70,580,879,On the Rocks,5729,1382479,4,1682640000,Jazz,Kangen Band,5.0,47.618,-122.197,43
71,1219,1355,Melodious Occasion,3376,865651,4,1677801600,Jazz,Sheila On 7,5.0,44.719,-92.435,33
72,594,993,Dance Drill,6930,1287841,1,1683763200,Jazz,Repvblik,5.0,43.661,-70.264,49
73,1642,1647,Sound Sensation,8267,830282,4,1679788800,Pop,Bunga Citra Lestari,5.0,36.668,-87.445,8
74,1020,2890,Festive Wine Split,8761,1260323,1,1679961600,Pop,Vierra,5.0,40.45,-79.899,24
75,515,2956,Fantasy Collision Festival,1863,1203614,4,1678060800,Jazz,Dewa 19,5.0,39.99,-75.221,44
76,604,1220,Sound Sensation,6792,1406541,2,1674604800,Pop,Dewa 19,5.0,41.94,-87.663,10
77,804,736,Folkloric Fiesta,2543,1429958,2,1683072000,Pop,Bunga Citra Lestari,5.0,41.91,-87.677,7
78,1087,2292,Monkey Business Yearly Festival,8094,1081481,2,1680652800,Pop,Element,5.0,40.779,-73.957,25
79,463,1194,Loud Love,9752,1373205,4,1683504000,Jazz,Isyana Sarasvati,5.0,32.717,-117.161,29
80,724,244,Multitrack Live,450,902825,2,1673136000,Jazz,Repvblik,2.0,29.735,-95.5,31
81,1888,2323,Tasty Salad Feast,9835,1133180,2,1682208000,Jazz,Agnes Monica,5.0,39.521,-119.816,30
82,746,2706,Electronic Harmony,7040,1203876,2,1673913600,Pop,Andra and The Backbone,5.0,33.424,-111.926,24
83,1789,1599,Harmonized Occasion,7394,1131034,1,1675728000,Pop,Vierra,5.0,43.665,-79.41,15
84,1066,1789,The Contiuum,334,800783,2,1678233600,Jazz,Vierra,5.0,40.86,-73.072,47
85,897,2511,A Dreamy Spring World,9506,1376756,4,1678320000,Jazz,Tulus,5.0,40.762,-73.994,35
86,1105,1547,Harmonized Soirée,6550,1131540,1,1680307200,Pop,Element,5.0,34.102,-118.331,17
87,689,680,Tuneful Gathering,1157,1424380,1,1680566400,Jazz,Naff,4.0,42.725,-71.48,42
88,865,1760,Bingo and Bowls,9330,837059,4,1677196800,Pop,Noah,5.0,36.139,-115.138,5
89,606,762,Chamber 3,296,1227310,3,1677542400,Pop,Geisha,5.0,33.832,-117.94,16
90,141,1930,Dance Zone,6705,1498232,2,1675641600,Jazz,Armada,5.0,32.91,-96.75,34
91,1722,1198,Musical Madness,6360,1026133,3,1677283200,Pop,Repvblik,5.0,44.401,-64.54,27
92,1103,1254,Naughty Notes,8141,1099830,1,1677110400,Pop,Geisha,5.0,39.687,-123.483,1
93,334,1260,Beats for Breakfast,5011,896166,2,1681862400,Jazz,Repvblik,5.0,34.159,-118.167,30
94,1300,1625,Tuneful Treats,1166,1391518,3,1673136000,Pop,Andra and The Backbone,5.0,54.31,-130.31,14
95,1448,1202,Celebration Scaled Up ,4936,1250213,1,1672963200,Pop,Andra and The Backbone,5.0,45.513,-122.646,5
96,1695,1409,Melodious Merriments,7042,1219473,4,1678147200,Jazz,Andra and The Backbone,5.0,33.98,-83.396,36
97,878,1909,Trickle Of The Creek,2517,1307735,3,1678406400,Pop,Bunga Citra Lestari,5.0,33.766,-84.349,9
98,1847,106,Jakarta International Java Jazz Festival,3380,940040,1,1674345600,Jazz,Naff,1.0,44.49,-73.187,41
99,274,1189,Verse Vibes,4611,1121742,4,1675641600,Pop,Repvblik,5.0,41.641,-81.405,12
100,492,2466,Fire in the Pit Summer Festival,3121,1187394,1,1677024000,Jazz,Element,5.0,49.254,-123.115,41
101,1919,131,Jakarta International Wedding Festival,6828,900232,4,1678320000,Jazz,Slank,1.0,40.335,-75.923,38
102,177,2130,Rate of Resonance,6944,1216866,2,1675555200,Pop,Element,5.0,43.097,-89.344,21
103,1337,267,Outdoor Amplitude,3383,1480046,3,1681257600,Jazz,Payung Teduh,2.0,38.891,-104.766,44
104,1919,2002,Club White Space,4062,936407,3,1677888000,Jazz,Bunga Citra Lestari,5.0,40.729,-74.0,48
105,1423,748,Alt Attack,6909,1223751,4,1681257600,Pop,Sheila On 7,5.0,33.398,-84.797,22
106,1343,2773,More Than You Asked For,4286,1061994,4,1680307200,Jazz,Raisa,5.0,42.666,-76.629,43
107,1379,1796,The Mad King,5786,1332641,1,1678924800,Jazz,Afgan,5.0,33.676,-117.779,31
108,1811,1110,Rise Festival,8464,1201437,2,1673308800,Jazz,Andra and The Backbone,5.0,33.747,-117.87,33
109,736,1972,Jazz Ja,8255,884813,2,1681948800,Pop,Payung Teduh,5.0,35.228,-80.855,27
110,817,75,Indonesia International Education & Training Expo,8015,1070761,2,1677196800,Pop,Armada,1.0,42.964,-78.803,1
111,1897,830,Interface Music Festival,7191,1053148,3,1683936000,Jazz,Geisha,5.0,42.443,-76.486,44
112,554,137,Jakarta International Film Festival (JIFFest),6139,1479095,3,1674950400,Jazz,Vierra,1.0,33.511,-112.029,28
113,369,830,Interface Music Festival,719,1053148,1,1675296000,Jazz,Vierra,5.0,37.531,-77.425,44
114,1422,1887,Futurea,9617,877796,1,1683331200,Pop,Repvblik,5.0,43.66,-79.917,19
115,749,2068,Music Distortion,6935,1184846,4,1672531200,Jazz,Nidji,5.0,40.831,-73.92,38
116,2018,649,Jingle Jungle,1145,1266116,1,1673308800,Pop,Dewa 19,5.0,41.761,-88.309,8
117,400,2121,Queen’s Music Mela,3067,868304,1,1677888000,Pop,Isyana Sarasvati,5.0,27.774,-82.634,22
118,1613,332,On The Rocks,6930,1138717,4,1679788800,Pop,Armada,3.0,41.942,-87.652,16
119,377,2311,Doozy Booze Festival,9343,1170837,3,1679875200,Pop,Repvblik,5.0,30.307,-97.74,10
120,766,1883,White Jade,604,1483614,4,1682812800,Pop,Sheila On 7,5.0,42.9,-78.879,1
121,1817,2281,The Da Vinci Code Art Festival,4256,1127913,4,1679529600,Jazz,Slank,5.0,36.011,-115.175,44
122,2071,2005,Tasty Tempo,9053,1352363,1,1677456000,Pop,Padi,5.0,44.273,-88.41,24
123,1041,535,Fortune Within,6998,1414390,2,1679011200,Pop,Bunga Citra Lestari,4.0,40.495,-74.444,6
124,694,1883,White Jade,8298,1483614,1,1675641600,Pop,Armada,5.0,32.829,-83.651,1
125,1270,670,Craft Juice,6959,1436826,1,1675900800,Jazz,Dewa 19,4.0,26.785,-80.117,44
126,1644,2074,Loud Rotation,9069,1190689,1,1679788800,Jazz,Vierra,5.0,33.248,-111.633,39
127,1979,883,Pop Supreme,1764,946145,1,1679356800,Pop,Agnes Monica,5.0,51.04,-114.081,1
128,1177,1327,Chorus Carousal,9510,1431390,4,1672617600,Jazz,Repvblik,5.0,43.648,-79.395,31
129,1194,2402,Sculp the Ice Winter Fest,203,991120,3,1674259200,Jazz,Dewa 19,5.0,37.783,-122.41,40
130,1739,2394,Winter Frost Festival,502,824266,3,1676937600,Jazz,Slank,5.0,40.955,-75.977,46
131,1471,333,Opera Occasion,4552,1064547,4,1677456000,Jazz,Raisa,2.0,43.666,-79.381,46
132,786,964,Acousitic Virtuoso Festival,5313,1387958,4,1679788800,Pop,Kangen Band,5.0,34.058,-117.748,11
133,346,2292,Monkey Business Yearly Festival,7666,1081481,3,1680566400,Pop,HIVI!,5.0,-34.923,138.592,25
134,904,2128,Lazy Lyrical Lounge,4375,1430292,1,1679184000,Jazz,Noah,5.0,34.282,-119.291,47
135,1733,351,Stereo Soirée,7750,1325331,1,1681084800,Jazz,HIVI!,2.0,41.991,-87.798,30
136,1552,2337,Take It To Europe Food Festival,4747,1005410,3,1672617600,Jazz,Raisa,5.0,42.023,-93.649,35
137,1612,1787,Meadow County,3577,1189815,2,1678320000,Pop,Element,5.0,33.986,-81.072,13
138,1991,652,Chorus Carousal,2398,1107575,3,1679270400,Jazz,Padi,4.0,43.035,-89.421,32
139,436,267,Outdoor Amplitude,9199,1480046,4,1674518400,Jazz,Element,2.0,28.542,-81.379,44
140,248,878,Nomad Music,151,1153487,4,1683936000,Pop,Raisa,5.0,34.091,-118.389,12
141,1335,1298,Mimosa Medley,597,1319082,4,1680480000,Jazz,Gigi,5.0,40.726,-73.984,33
142,1127,1193,Sloppy Symphony,1874,1053480,4,1675123200,Jazz,Slank,5.0,37.393,-122.079,29
143,245,2362,Kisses and Chocolates Dessert Festival,9468,1172437,2,1673568000,Jazz,Geisha,5.0,34.146,-118.137,41
144,1882,709,Dance Archilles,6732,818878,4,1676332800,Jazz,Vierra,5.0,30.897,-98.665,39
145,359,1810,Come All Festivals,8041,1050260,4,1676592000,Jazz,Vierra,5.0,34.941,-89.613,44
146,1786,1588,The Mad King,5269,1334379,4,1675814400,Jazz,Tulus,5.0,42.125,-80.082,45
147,1689,2168,Wireless Blues,3738,1279744,3,1673568000,Pop,Geisha,5.0,50.698,-121.928,16
148,1366,1446,Neverland,5591,967055,1,1682208000,Jazz,Armada,5.0,27.567,-99.498,38
149,124,2537,Keep It Spring,1968,1098565,4,1680825600,Pop,Repvblik,5.0,42.36,-83.066,8
150,191,2653,Thirsty Twenty Festival,3827,1300042,1,1672963200,Jazz,Naff,5.0,47.574,-122.688,46
151,1511,2886,Wine Story Festival,481,1408232,2,1675555200,Pop,Payung Teduh,5.0,41.707,-88.086,24
152,21,915,Stomping Grounds,5479,1185746,3,1676160000,Jazz,Geisha,5.0,40.717,-73.951,29
153,531,1825,Forest Spirit Trance,2109,1222559,2,1678579200,Jazz,Isyana Sarasvati,5.0,34.149,-118.338,48
154,1131,2206,Jingle Jungle,3276,1011211,3,1676073600,Pop,Kangen Band,5.0,38.804,-77.042,2
155,80,1770,On the Rocks,967,868373,3,1683763200,Pop,Sheila On 7,5.0,35.365,-119.114,2
156,849,1264,Jukebox Merriments,3450,1493408,1,1674604800,Jazz,Bunga Citra Lestari,5.0,33.875,-117.887,33
157,1960,2195,Outdoor Oasis,7288,1020397,3,1682640000,Pop,Vierra,5.0,42.702,-73.819,21
158,1100,2615,Breezy Fall Wind,6368,812347,2,1678665600,Jazz,Isyana Sarasvati,5.0,51.038,-114.086,37
159,1375,1567,Interface Music Festival,5764,1366150,4,1675036800,Jazz,Element,5.0,33.822,-84.159,35
160,1326,1266,Overtones Reception,1774,927170,1,1679961600,Pop,Agnes Monica,5.0,40.897,-80.855,26
161,35,2429,Beat The Summer Days,4954,1115466,3,1682035200,Jazz,Slank,5.0,34.045,-118.251,47
162,1092,1618,Bass Bash,1595,1165144,1,1679097600,Pop,Gigi,5.0,49.619,-125.031,20
163,1304,2003,Jazz Aura,9480,999320,3,1679788800,Jazz,Sheila On 7,5.0,42.64,-83.131,28
164,266,2447,Outdoor Summer Fest,7889,1464895,4,1674345600,Jazz,Padi,5.0,39.544,-119.816,39
165,1237,1927,Grounded Sounds,715,1427878,4,1678406400,Jazz,Repvblik,5.0,47.657,-117.419,36
166,1404,1640,Barbarossa Lounge,5896,1406898,2,1672617600,Pop,Isyana Sarasvati,5.0,40.72,-73.989,22
167,460,2242,Matrix Nirvana,2022,1191505,2,1683417600,Pop,Element,5.0,40.008,-74.166,17
168,98,597,Sing Along Celebration,6794,1318418,4,1679011200,Pop,Bunga Citra Lestari,4.0,50.928,-114.031,1
169,1210,2055,The Promised Land,1241,977062,1,1673827200,Jazz,Payung Teduh,5.0,29.949,-90.132,49
170,385,2074,Loud Rotation,3387,1190689,2,1677888000,Jazz,Kangen Band,5.0,35.099,-78.848,39
171,684,1649,Toasted Ping Thing,7831,1286281,4,1672704000,Jazz,Armada,5.0,44.976,-93.27,39
172,741,2194,Beachside Fest,3845,1204952,3,1679961600,Jazz,Armada,5.0,39.232,-84.507,32
173,874,523,Loud Rotation,6359,930712,3,1676764800,Pop,Naff,4.0,32.602,-96.942,16
174,821,1871,Tremolo Vegas,4144,1296765,2,1676592000,Jazz,Judika,5.0,40.679,-73.968,35
175,280,2682,Abstract Sketch Festival,8774,1488269,1,1678406400,Jazz,Andra and The Backbone,5.0,40.758,-73.916,43
176,117,484,Guitarist Gala,9923,928631,3,1683763200,Pop,Repvblik,4.0,34.045,-118.237,20
177,80,2064,Follow Us Festival,2555,1300523,3,1680048000,Pop,Kangen Band,5.0,37.456,-93.282,6
178,1896,2377,The Snow Plunge,4723,1494785,3,1677283200,Pop,Kangen Band,5.0,30.237,-97.714,23
179,1221,212,Bass Bash,1558,902628,3,1680393600,Pop,Ran,2.0,41.811,-72.923,2
180,82,2677,The Lonely Carnival,99,819816,1,1672704000,Pop,Dewa 19,5.0,35.908,-79.023,3
181,94,2297,Landslide Palooza,2499,1420546,2,1681257600,Pop,Andra and The Backbone,5.0,47.613,-122.289,6
182,1198,759,Blackbox Music Festival,7398,870850,3,1675468800,Pop,Padi,5.0,38.991,-76.95,18
183,925,1587,Turkey Turks,6442,834366,2,1680480000,Pop,Ran,5.0,40.764,-111.876,26
184,1589,1524,The Discovery Trail,2623,918827,3,1676246400,Pop,HIVI!,5.0,35.75,-86.408,4
185,1687,1874,Mesmeria,3334,1387180,3,1683158400,Jazz,Naff,5.0,41.659,-86.222,28
186,1552,2646,The Jolly Annual Festival,8209,897693,1,1679097600,Jazz,Repvblik,5.0,45.427,-75.68,37
187,1659,2489,Sweet Summer Dream Fest,3016,1468319,4,1677283200,Jazz,Payung Teduh,5.0,35.046,-85.312,30
188,1452,1884,Pie O’ La,6048,1460573,4,1672790400,Pop,Andra and The Backbone,5.0,31.533,-110.255,11
189,547,2764,Toddlers in Tow,2009,1264981,1,1676937600,Jazz,Agnes Monica,5.0,21.336,-158.019,38
190,620,2662,Wizard of Joy,851,810709,3,1683590400,Jazz,Agnes Monica,5.0,32.327,-86.259,37
191,308,2055,The Promised Land,5464,977062,4,1678665600,Jazz,Isyana Sarasvati,5.0,33.384,-111.805,49
192,1227,128,Jakarta International Culinary Festival,4672,1441447,3,1683849600,Jazz,Sheila On 7,1.0,39.982,-74.797,34
193,1415,565,Legends Of Sound,8057,822285,1,1681430400,Pop,Raisa,4.0,-37.884,145.003,18
194,676,2420,Cold Winter Hitch Festival,5660,999175,1,1675296000,Jazz,Naff,5.0,34.245,-116.885,44
195,1235,2684,Suits of Magic Carnival,8278,953950,2,1677024000,Pop,Geisha,5.0,39.06,-94.586,24
196,1774,701,In The Clouds,8659,855243,1,1672531200,Jazz,Andra and The Backbone,4.0,43.664,-79.395,28
197,1598,3012,Dragon Lady Festival,7909,1355377,3,1681430400,Pop,Padi,5.0,39.083,-84.51,1
198,926,809,FunkPrism,3665,1200576,4,1680480000,Pop,Bunga Citra Lestari,5.0,42.349,-71.096,17
199,1758,1218,Composition Cosmos,3704,1469686,1,1674345600,Pop,Raisa,5.0,43.632,-79.424,20
200,302,359,Notes And Drinks,2503,803216,1,1674950400,Jazz,Naff,2.0,33.499,-111.924,30
201,2056,2904,Wine Anything Fest,6964,1241478,4,1677456000,Pop,Bunga Citra Lestari,5.0,41.797,-73.115,19
202,441,2001,Jingle Juices,3623,1261504,1,1678665600,Jazz,Armada,5.0,29.862,-95.062,45
203,1237,2286,Highs and Lows Festival,9903,1197939,1,1679788800,Pop,Vierra,5.0,41.95,-87.714,25
204,1108,222,Festivista,7933,1224741,2,1676332800,Pop,Kangen Band,2.0,39.74,-104.975,13
205,920,418,Melodious Margaritas,6599,1484053,1,1683849600,Pop,Kangen Band,3.0,26.463,-80.073,22
206,311,439,Boozy Disco,6750,1209857,2,1678406400,Jazz,Vierra,3.0,38.731,-88.083,44
207,1115,829,InSound Music Festival,7467,1088516,3,1675987200,Pop,Naff,5.0,41.957,-70.97,13
208,1922,1193,Sloppy Symphony,4498,1053480,2,1675123200,Jazz,Kangen Band,5.0,38.44,-78.873,29
209,833,847,Legion Movement,1038,1398758,2,1682294400,Pop,Sheila On 7,5.0,28.547,-81.418,21
210,807,2420,Cold Winter Hitch Festival,1746,999175,2,1672704000,Jazz,Element,5.0,39.76,-104.984,44
211,1774,1067,Music in the Valley,4723,1451680,4,1675209600,Pop,Vierra,5.0,39.771,-74.9,13
212,16,931,The Wanderers Festival,6430,875691,3,1673827200,Pop,Naff,5.0,34.398,-119.519,17
213,1396,1091,Outdoor Amplitude,3058,1410832,1,1680652800,Pop,Gigi,5.0,40.738,-73.884,23
214,471,10,Ubud Writers Retreat,6560,1424319,2,1676246400,Pop,Padi,1.0,42.693,-73.108,19
215,1316,2677,The Lonely Carnival,7346,819816,1,1676246400,Pop,Padi,5.0,35.777,-78.637,3
216,1828,2921,Sweetened Wine Night Festival,7846,1280366,4,1681171200,Pop,Ran,5.0,40.725,-73.993,15
217,481,652,Chorus Carousal,9559,1107575,1,1681689600,Jazz,Dewa 19,4.0,34.045,-118.251,32
218,598,2682,Abstract Sketch Festival,3973,1488269,2,1679270400,Jazz,Raisa,5.0,38.21,-85.219,43
219,451,133,Borobudur International Festival,8802,1439636,3,1682380800,Jazz,Raisa,1.0,34.003,-118.43,47
220,1112,1159,Wild Funk,7440,1253817,3,1677024000,Jazz,Agnes Monica,5.0,47.522,-111.319,36
221,281,2420,Cold Winter Hitch Festival,584,999175,3,1674000000,Jazz,Sheila On 7,5.0,46.601,-120.503,44
222,1407,847,Legion Movement,8409,1398758,1,1682899200,Pop,Element,5.0,40.8,-72.794,21
223,1450,2247,Festival Wonderland,4899,1137098,4,1675036800,Jazz,Element,5.0,40.729,-73.992,30
224,991,1415,Chorus Creators,7372,1427581,3,1679616000,Pop,Padi,5.0,43.119,-79.249,6
225,1062,2539,Golden Springers,8193,1282818,4,1680825600,Pop,Kangen Band,5.0,38.89,-77.091,14
226,728,2000,Rocky Pop,2500,1260252,2,1676073600,Pop,Geisha,5.0,38.214,-91.169,16
227,653,1414,Frequency FunTimes,3371,930533,4,1678665600,Pop,Kangen Band,5.0,36.091,-115.298,9
228,1754,643,Rock Til You Drop,3477,1353878,3,1674345600,Jazz,Element,4.0,33.783,-118.157,31
229,385,936,Trident,9537,922148,3,1680307200,Jazz,Vierra,5.0,40.719,-73.985,44
230,1380,2890,Festive Wine Split,5641,1260323,1,1683590400,Pop,Geisha,5.0,47.256,-122.523,24
231,593,2595,Breezy Fall Festival,4821,1238731,2,1680825600,Pop,Dewa 19,5.0,33.828,-118.137,3
232,975,1833,Sunset Chords,6932,1406122,1,1678233600,Pop,Naff,5.0,32.763,-117.122,8
233,1882,485,Bounce And Booze,4050,816870,4,1678579200,Jazz,Repvblik,3.0,40.723,-74.05,48
234,502,370,Hello Neighbour,2940,1446407,1,1678233600,Pop,Armada,3.0,34.023,-118.28,18
235,994,2841,Curb Collector Fest,2694,1150015,4,1674950400,Jazz,Geisha,5.0,33.351,-111.78,34
236,545,540,Fest Kingdom,7782,1155288,1,1675987200,Jazz,Naff,3.0,41.584,-87.314,48
237,1995,1780,Fusion Fiesta,5811,1105639,2,1675036800,Pop,Sheila On 7,5.0,34.585,-92.566,17
238,1066,2174,Vintageer Sounds,7964,1255867,1,1680652800,Jazz,Element,5.0,40.726,-73.992,31
239,503,100,Indonesia International Toys & Kids Expo,5731,1116454,4,1675296000,Jazz,Noah,1.0,29.622,-98.463,31
240,844,701,In The Clouds,4212,855243,3,1675296000,Jazz,HIVI!,4.0,40.586,-122.356,28
241,1138,1799,Metered Muse Fest,5314,916060,2,1680739200,Jazz,HIVI!,5.0,42.817,-73.943,49
242,1571,1817,Silveriness Shindig,8903,1450193,3,1682899200,Pop,Payung Teduh,5.0,40.088,-75.391,17
243,1545,133,Borobudur International Festival,6224,1439636,4,1678060800,Jazz,Gigi,1.0,42.573,-82.91,47
244,991,2062,Jazz Roots,2247,940265,1,1682726400,Jazz,Raisa,5.0,33.702,-117.934,46
245,475,1938,Funk Savage,9428,971122,3,1678838400,Pop,Dewa 19,5.0,47.613,-122.319,11
